-No-  Hi  Lo  Artist's Name
   1   6   0  10,000 Maniacs
   2   2   1  10cc
   3   1   0  12 Stones
   4   0   1  2 Chainz
   5   2   4  2Pac
   6   4   0  3 doors down
   7   6   0  311
   8   1   0  4 Non Blondes
   9   1   1  50-Cent
  10   1   0  A Flock of Sea Gulls
  11   0   1  A Paul Ortega
  12   5   0  A Perfect Circle
  13   2   0  A Taste Of Honey
  14   3   0  A Tribe Called Quest
  15   1   0  Aaliyah
  16   5   0  ABBA
  17   0   1  Above The Law
  18  15   0  AC-DC
  19   2   0  Ace of Base
  20   0   1  Acri, Bob
  21   0   1  Adam F
  22   4   0  Adams, Bryan
  23   1   0  Adderley, Cannonball
  24   1   0  Addition, James
  25   4   0  Adele
  26  14   0  Aerosmith
  27   0   1  African Vibrations
  28   3   0  Aguilera, Christina
  29   1   0  Aiken, Clay
  30   3   0  Air
  31   4   0  Air supply
  32   1   0  Alabama
  33   1   0  Aldean, Jason
  34   7   0  Alice Cooper
  35   9   0  Alice in Chains
  36   1   1  Alien Ant Farm
  37   2   0  All American Rejects, the
  38   5   1  Allman Brothers Band
  39   4   0  Alpert, Herb
  40   1   0  Amadou & Mariam
  41   1   0  Amath, Amon
  42   2   0  America
  43   2   0  Amos, Tori
  44   1   0  Anderson, Sunshine
  45   2   0  Animals, the
  46   1   0  Anka, Paul
  47   2   0  Anthony, Marc
  48   4   0  Anthrax
  49   0   1  Apache Indian
  50   1   0  April Wine
  51   1   1  Archies
  52   4   0  Arctic Monkeys
  53   1   0  Argent
  54   1   0  Armik
  55   4   0  Armstrong, Louis
  56   0   1  Arrested Development
  57   5   0  Asia
  58   1   0  Association, the
  59   0   1  AT&T
  60   3   0  Atkins, Chet
  61   1   0  Atlanta Rhythm Section
  62   0   1  Atreyu
  63   2   1  Audio Books
  64   2   0  Audioslave
  65   0   2  Avant
  66   4   0  Avenged Sevenfold
  67   1   0  B.o.B
  68   2   0  B52's
  69   1   0  Babble
  70   3   5  Babyface
  71   3   0  Bachman-Turner Overdrive
  72   1   0  Backstreet Boys
  73   8   0  Bad Company
  74   3   0  Bad Religion
  75   2   0  Badu. Erykah
  76   4   0  Baez, Joan
  77   1   0  Baker, Chet
  78   1   0  Bananarama
  79   1   0  Band Perry, the
  80   3   0  Band, the
  81   2   0  Bar-Kays
  82   1   3  Barenaked Ladies
  83   1   0  Barnet, Charlie
  84   3   0  Barrueco, Manuel
  85   4   0  Basie, Count
  86   1   0  Bat for Lashes
  87   1   0  Bauhaus
  88   1   0  Bay, James
  89   3   0  Be Bop A Lula
  90   8   1  Beach Boys
  91   5   2  Beastie Boys
  92  25   8  Beatles, the
  93   9   5  Beck
  94   8   0  Beck, Jeff
  95   1   0  Bedovin Soundclash
  96   5   0  Bee Gees
  97   1   0  Bega, Lou
  98  12   9  Ben Folds Five
  99   1   0  Benatar, Pat
 100   1   0  Bennett, Tony
 101   1   1  Berlin, Irving
 102   4   0  Berry, Chuck
 103   5   0  Best of Broadside 1962-1988
 104   1   0  Better Than Ezra
 105   1   0  Bibb, Eric
 106   1   0  Bieber, Justin
 107   0   1  Big Bopper, The
 108   0   1  Big Head Todd and the Monsters
 109   1   0  Big Star
 110   3   1  Bjork
 111  10   0  Black Crowes, The
 112   3   0  Black Eyed Peas
 113   1   0  Black Flag
 114  15   0  Black Sabbath
 115   2   1  Black Stone Cherry
 116   1   0  Blackmore's Night
 117   1   0  Blakey, Art
 118   1   1  Blige, Mary J
 119   1   0  Blind Faith
 120   2   2  Blind Melon
 121   6   0  Blind Pig Records
 122   5   0  Blink 182
 123   1   0  Block, Rory
 124   3   0  Blondie
 125   6   0  Blood, Sweat & Tears
 126   1   0  Blue Oyster Cult
 127   3   0  Blues Brother, The
 128   7   0  Blues Traveler
 129   0   3  Bobby V
 130   0   2  BoDeans
 131   0   3  Body + Soul
 132   1   0  Bolton, Michael
 133   1   0  Bon Iver
 134   4   2  Bon Jovi
 135  11   0  Bonamassa, Joe
 136   0   2  Bone Thugs-N-Harmony
